,urls
121,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38164217&_cid=P10-MIYK57-76954-1
122,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014151148&_cid=P10-MIYK57-76954-1
123,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN241131901&_cid=P10-MIYK57-76954-1
124,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014207703&_cid=P10-MIYK57-76954-1
125,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016178915&_cid=P10-MIYK57-76954-1
126,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA206511507&_cid=P10-MIYK57-76954-1
127,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017214687&_cid=P10-MIYK57-76954-1
128,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA235882152&_cid=P10-MIYK57-76954-1
129,https://patentscope.wipo.int/search/en/detail.jsf?docId=KR92275402&_cid=P10-MIYK57-76954-1
130,https://patentscope.wipo.int/search/en/detail.jsf?docId=FI370346483&_cid=P10-MIYK57-76954-1
131,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP251063890&_cid=P10-MIYK57-76954-1
132,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93423730&_cid=P10-MIYK57-76954-1
133,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12499396&_cid=P10-MIYK57-76954-1
134,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36630030&_cid=P10-MIYK57-76954-1
135,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP205079673&_cid=P10-MIYK57-76954-1
136,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12891186&_cid=P10-MIYK57-76954-1
137,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023084343&_cid=P10-MIYK57-76954-1
138,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016088060&_cid=P10-MIYK57-76954-1
139,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018140326&_cid=P10-MIYK57-76954-1
140,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022078747&_cid=P10-MIYK57-76954-1
141,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP422379779&_cid=P10-MIYK57-76954-1
142,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP458119853&_cid=P10-MIYK57-76954-1
143,https://patentscope.wipo.int/search/en/detail.jsf?docId=KR92219519&_cid=P10-MIYK57-76954-1
144,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022200941&_cid=P10-MIYK57-76954-1
145,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP421393115&_cid=P10-MIYK57-76954-1
146,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024033865&_cid=P10-MIYK57-76954-1
147,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP11424015&_cid=P10-MIYK57-76954-1
148,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021150786&_cid=P10-MIYK57-76954-1
149,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93592340&_cid=P10-MIYK57-76954-1
150,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12592071&_cid=P10-MIYK57-76954-1
151,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP245432024&_cid=P10-MIYK57-76954-1
152,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014170200&_cid=P10-MIYK57-76954-1
153,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP452625556&_cid=P10-MIYK57-76954-1
154,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024183956&_cid=P10-MIYK57-76954-1
155,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP159711685&_cid=P10-MIYK57-76954-1
156,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014154250&_cid=P10-MIYK57-76954-1
157,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO1995011080&_cid=P10-MIYK57-76954-1
158,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12771583&_cid=P10-MIYK57-76954-1
